samples,richness,evenness,shannon,simpson,inv_simpson,chao1,PD_whole_tree,treatment
P0101,7546,0.497820178,6.412668825,0.990854099,109.3385948,10204.21252,239.61409,Treatment 1
P0114,6602,0.446719018,5.668277981,0.963853212,27.66497543,10365.19539,214.03223,Treatment 1
P0120,4523,0.421181137,5.114429615,0.972672425,36.59307526,6621.99021,156.81789,Treatment 1
P0292,8031,0.507581045,6.584018461,0.991044018,111.6572133,11045.67891,243.34943,Treatment 1
P0295,6522,0.459397314,5.821068719,0.979665743,49.17809445,9717.497326,203.68453,Treatment 1
P0301,5801,0.482438605,6.031488878,0.989411436,94.441509,8228.134948,189.21465,Treatment 1
P0384,5648,0.463712393,5.779490711,0.982752448,57.97924404,8134.177592,184.58394,Treatment 1
P0409,6418,0.472433906,5.97530061,0.985916471,71.00492952,9076.50879,205.45246,Treatment 1
p0415,2333,0.433828524,4.853660766,0.969146473,32.41120499,2808.535433,79.43143,Treatment 1
P0418,5784,0.458599766,5.731511928,0.979198919,48.07442458,8250.308717,187.81113,Treatment 1
p0520,5872,0.446105725,5.585081413,0.982993184,58.79995489,8660.812217,190.29395,Treatment 1
p0679,4868,0.447355805,5.479712009,0.975143783,40.23138351,6123.688716,167.20327,Treatment 1
P0691,6802,0.490864119,6.249555956,0.985730944,70.08171858,9509.104462,210.90753,Treatment 1
P0929,4819,0.443678819,5.428196531,0.973344581,37.51582356,7164.979827,161.30326,Treatment 1
P0932,5261,0.456055278,5.63735463,0.974406506,39.07242965,7596.668016,181.4511,Treatment 1
P0956,5045,0.4471406,5.500114903,0.973957065,38.39812975,7277.133047,159.30962,Treatment 1
P1415,7104,0.526547523,6.736867985,0.992359779,130.8862665,9043.599359,221.31901,Treatment 1
P1658,5543,0.445037518,5.534687414,0.976036561,41.73023798,8005.803419,175.79332,Treatment 1
